trade_id,location,INDICATOR,SUBJECT,MEASURE,FREQUENCY,time,value,
597,ISL,BOP,TOT,MLN_USD,A,2013,925.0258,
598,ISL,BOP,TOT,MLN_USD,A,2014,697.8181,
599,ISL,BOP,TOT,MLN_USD,A,2015,895.6672,
600,ISL,BOP,TOT,MLN_USD,A,2016,1560.271,
601,ISL,BOP,TOT,MLN_USD,A,2017,924.1792,
602,ISL,BOP,TOT,MLN_USD,A,2018,730.6042,
627,IRL,BOP,TOT,MLN_USD,A,2002,316.7572,
628,IRL,BOP,TOT,MLN_USD,A,2003,810.0201,
629,IRL,BOP,TOT,MLN_USD,A,2004,-190.0947,
630,IRL,BOP,TOT,MLN_USD,A,2005,-7492.486,
631,IRL,BOP,TOT,MLN_USD,A,2006,-12425.17,
632,IRL,BOP,TOT,MLN_USD,A,2007,-17564.07,
633,IRL,BOP,TOT,MLN_USD,A,2008,-17121.79,
634,IRL,BOP,TOT,MLN_USD,A,2009,-10982.35,
635,IRL,BOP,TOT,MLN_USD,A,2010,-2661.833,
636,IRL,BOP,TOT,MLN_USD,A,2011,-3905.675,
637,IRL,BOP,TOT,MLN_USD,A,2012,-7625.903,
638,IRL,BOP,TOT,MLN_USD,A,2013,3698.405,
639,IRL,BOP,TOT,MLN_USD,A,2014,2779.638,
640,IRL,BOP,TOT,MLN_USD,A,2015,12819.32,
641,IRL,BOP,TOT,MLN_USD,A,2016,-12575.73,
642,IRL,BOP,TOT,MLN_USD,A,2017,1643.544,
643,IRL,BOP,TOT,MLN_USD,A,2018,34217.12,
661,ITA,BOP,TOT,MLN_USD,A,1995,28096.12,
662,ITA,BOP,TOT,MLN_USD,A,1996,43202.8,
663,ITA,BOP,TOT,MLN_USD,A,1997,36694.22,
664,ITA,BOP,TOT,MLN_USD,A,1998,26087.42,
665,ITA,BOP,TOT,MLN_USD,A,1999,10032.36,
666,ITA,BOP,TOT,MLN_USD,A,2000,-3119.54,
667,ITA,BOP,TOT,MLN_USD,A,2001,1805.431,
668,ITA,BOP,TOT,MLN_USD,A,2002,-6335.144,
669,ITA,BOP,TOT,MLN_USD,A,2003,-12406.75,
670,ITA,BOP,TOT,MLN_USD,A,2004,-8693.415,
671,ITA,BOP,TOT,MLN_USD,A,2005,-16397.81,
672,ITA,BOP,TOT,MLN_USD,A,2006,-28765.01,
673,ITA,BOP,TOT,MLN_USD,A,2007,-30226.48,
674,ITA,BOP,TOT,MLN_USD,A,2008,-66908.16,
675,ITA,BOP,TOT,MLN_USD,A,2009,-41305.89,
676,ITA,BOP,TOT,MLN_USD,A,2010,-70309.85,
677,ITA,BOP,TOT,MLN_USD,A,2011,-64764.56,
678,ITA,BOP,TOT,MLN_USD,A,2012,-4814.872,
679,ITA,BOP,TOT,MLN_USD,A,2013,23732.98,
680,ITA,BOP,TOT,MLN_USD,A,2014,41005.97,
681,ITA,BOP,TOT,MLN_USD,A,2015,26099.02,
682,ITA,BOP,TOT,MLN_USD,A,2016,48651.88,
683,ITA,BOP,TOT,MLN_USD,A,2017,52406.29,
684,ITA,BOP,TOT,MLN_USD,A,2018,54256.66,
709,JPN,BOP,TOT,MLN_USD,A,1996,69362.01,B
710,JPN,BOP,TOT,MLN_USD,A,1997,95100.69,
711,JPN,BOP,TOT,MLN_USD,A,1998,115442.4,
712,JPN,BOP,TOT,MLN_USD,A,1999,115173.4,
713,JPN,BOP,TOT,MLN_USD,A,2000,130467.4,
714,JPN,BOP,TOT,MLN_USD,A,2001,87117.89,
715,JPN,BOP,TOT,MLN_USD,A,2002,108716.3,
716,JPN,BOP,TOT,MLN_USD,A,2003,139379.1,
717,JPN,BOP,TOT,MLN_USD,A,2004,182023.2,
718,JPN,BOP,TOT,MLN_USD,A,2005,170496.8,
719,JPN,BOP,TOT,MLN_USD,A,2006,175850.6,
720,JPN,BOP,TOT,MLN_USD,A,2007,212952.4,
721,JPN,BOP,TOT,MLN_USD,A,2008,142000.4,
722,JPN,BOP,TOT,MLN_USD,A,2009,146511,
723,JPN,BOP,TOT,MLN_USD,A,2010,221326.6,
724,JPN,BOP,TOT,MLN_USD,A,2011,128428.4,
725,JPN,BOP,TOT,MLN_USD,A,2012,62152.26,
726,JPN,BOP,TOT,MLN_USD,A,2013,46394.94,
727,JPN,BOP,TOT,MLN_USD,A,2014,36868.55,
728,JPN,BOP,TOT,MLN_USD,A,2015,136962.5,
729,JPN,BOP,TOT,MLN_USD,A,2016,193651.3,
730,JPN,BOP,TOT,MLN_USD,A,2017,204570.1,
731,JPN,BOP,TOT,MLN_USD,A,2018,175664,
755,KOR,BOP,TOT,MLN_USD,A,1980,-6895.5,
756,KOR,BOP,TOT,MLN_USD,A,1981,-6487.5,
757,KOR,BOP,TOT,MLN_USD,A,1982,-5631.2,
758,KOR,BOP,TOT,MLN_USD,A,1983,-3592.9,
759,KOR,BOP,TOT,MLN_USD,A,1984,-1847.3,
760,KOR,BOP,TOT,MLN_USD,A,1985,-2178.4,
761,KOR,BOP,TOT,MLN_USD,A,1986,2606.8,
762,KOR,BOP,TOT,MLN_USD,A,1987,8631.7,
763,KOR,BOP,TOT,MLN_USD,A,1988,12758.2,
764,KOR,BOP,TOT,MLN_USD,A,1989,3766.5,
765,KOR,BOP,TOT,MLN_USD,A,1990,-2804.4,
766,KOR,BOP,TOT,MLN_USD,A,1991,-8033.5,
767,KOR,BOP,TOT,MLN_USD,A,1992,-2901.7,
768,KOR,BOP,TOT,MLN_USD,A,1993,1688.2,
769,KOR,BOP,TOT,MLN_USD,A,1994,-4793.6,
770,KOR,BOP,TOT,MLN_USD,A,1995,-10229.7,
771,KOR,BOP,TOT,MLN_USD,A,1996,-24461.2,
772,KOR,BOP,TOT,MLN_USD,A,1997,-10811.2,
773,KOR,BOP,TOT,MLN_USD,A,1998,40112.8,
774,KOR,BOP,TOT,MLN_USD,A,1999,21785,
775,KOR,BOP,TOT,MLN_USD,A,2000,10180.5,
776,KOR,BOP,TOT,MLN_USD,A,2001,2164.4,
777,KOR,BOP,TOT,MLN_USD,A,2002,4066.2,
778,KOR,BOP,TOT,MLN_USD,A,2003,11308.8,
779,KOR,BOP,TOT,MLN_USD,A,2004,29290,
780,KOR,BOP,TOT,MLN_USD,A,2005,12209.5,
781,KOR,BOP,TOT,MLN_USD,A,2006,2095.2,
782,KOR,BOP,TOT,MLN_USD,A,2007,10472.7,
783,KOR,BOP,TOT,MLN_USD,A,2008,1753,
784,KOR,BOP,TOT,MLN_USD,A,2009,33087.1,
785,KOR,BOP,TOT,MLN_USD,A,2010,27951.1,
786,KOR,BOP,TOT,MLN_USD,A,2011,16637.9,
787,KOR,BOP,TOT,MLN_USD,A,2012,48791.4,
788,KOR,BOP,TOT,MLN_USD,A,2013,77259.7,
789,KOR,BOP,TOT,MLN_USD,A,2014,83030.1,
790,KOR,BOP,TOT,MLN_USD,A,2015,105117.9,
791,KOR,BOP,TOT,MLN_USD,A,2016,97923.5,
